[rosmaster.main][INFO] 2018-06-14 13:45:02,641: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-06-14 13:45:02,642: Starting ROS Master Node
[xmlrpc][INFO] 2018-06-14 13:45:02,645: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2018-06-14 13:45:02,646: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2018-06-14 13:45:02,647: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2018-06-14 13:45:02,647: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-06-14 13:45:02,695: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:02,699: +PARAM [/roslaunch/uris/host_localhost__44355] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,503: +PARAM [/robot/right_e0_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,503: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,504: +PARAM [/robot/left_gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,504: +PARAM [/robot/left_s0_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,505: +PARAM [/robot/left_w2_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,505: +PARAM [/robot/left_joint_position_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,505: +PARAM [/robot/right_e0_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,505: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,506: +PARAM [/robot/left_w2_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,506: +PARAM [/robot/right_w1_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,506: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,506: +PARAM [/robot/right_joint_effort_controller/joints/right_w0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,507: +PARAM [/robot_config/right_config/joint_names] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,507: +PARAM [/robot/right_e0_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,507: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,507: +PARAM [/robot/right_w0_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,508: +PARAM [/robot/right_e0_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,508: +PARAM [/robot/right_e1_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,508: +PARAM [/robot/right_w2_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,508: +PARAM [/robot/left_gripper_controller/joints/l_gripper_r_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,508: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,509: +PARAM [/robot/left_w2_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,509: +PARAM [/robot/head_position_controller/joints/head_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,509: +PARAM [/robot/left_w2_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,509: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,509: +PARAM [/robot/right_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,509: +PARAM [/right_tip_name] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,510: +PARAM [/robot/right_e1_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,510: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,510: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,510: +PARAM [/robot/right_w1_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,510: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,511: +PARAM [/robot/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,511: +PARAM [/robot/right_joint_velocity_controller/joints/right_e1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,511: +PARAM [/robot/left_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,511: +PARAM [/robot/right_w1_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,512: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,512: +PARAM [/robot/left_e1_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,512: +PARAM [/robot/left_joint_velocity_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,513: +PARAM [/robot/right_joint_velocity_controller/joints/right_w1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,513: +PARAM [/robot/right_joint_effort_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,513: +PARAM [/robot/left_w2_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,513: +PARAM [/robot/right_w1_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,514: +PARAM [/robot/head_position_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,514: +PARAM [/robot/right_joint_effort_controller/joints/right_e0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,514: +PARAM [/robot/left_joint_position_controller/joints/left_s1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,514: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,514: +PARAM [/robot/left_joint_position_controller/joints/left_w1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,515: +PARAM [/robot/left_joint_position_controller/joints/left_e0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,515: +PARAM [/robot/left_joint_position_controller/joints/left_w1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,515: +PARAM [/robot/left_joint_position_controller/joints/left_s1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,515: +PARAM [/robot/right_joint_effort_controller/joints/right_s0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,515: +PARAM [/robot/left_joint_position_controller/joints/left_w1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,515: +PARAM [/robot/left_joint_effort_controller/joints/left_w1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,516: +PARAM [/robot/left_gripper_controller/joints/l_gripper_l_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,516: +PARAM [/robot/left_joint_velocity_controller/joints/left_s0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,516: +PARAM [/robot/left_joint_position_controller/joints/left_s1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,517: +PARAM [/robot/right_gripper_controller/joints/r_gripper_l_finger_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,517: +PARAM [/robot/left_joint_position_controller/joints/left_w1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,517: +PARAM [/robot/left_s0_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,517: +PARAM [/robot/right_joint_velocity_controller/joints/right_e1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,517: +PARAM [/robot/right_joint_velocity_controller/joints/right_w0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,517: +PARAM [/robot/right_joint_velocity_controller/joints/right_w1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,518: +PARAM [/robot/left_e0_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,518: +PARAM [/robot/right_joint_velocity_controller/joints/right_w1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,518: +PARAM [/robot/right_joint_velocity_controller/joints/right_e1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,518: +PARAM [/robot/left_s0_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,518: +PARAM [/robot/left_joint_velocity_controller/joints/left_e0_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:45:03,518: +PARAM [/robot/right_joint_effort_controller/joints/right_s1_controller/joint] by /roslaunch
