[rosmaster.main][INFO] 2018-06-14 13:52:28,176: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-06-14 13:52:28,176: Starting ROS Master Node
[xmlrpc][INFO] 2018-06-14 13:52:28,178: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2018-06-14 13:52:28,178: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2018-06-14 13:52:28,179: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-06-14 13:52:28,179: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2018-06-14 13:52:28,262: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,265: +PARAM [/roslaunch/uris/host_localhost__33265] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,811: +SERVICE [/rosout/get_loggers] /rosout http://localhost:33423/
[rosmaster.master][INFO] 2018-06-14 13:52:28,815: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:33423/
[rosmaster.master][INFO] 2018-06-14 13:52:28,828: +PUB [/rosout_agg] /rosout http://localhost:33423/
[rosmaster.master][INFO] 2018-06-14 13:52:28,856: +SUB [/rosout] /rosout http://localhost:33423/
[rosmaster.master][INFO] 2018-06-14 13:52:28,869: +PARAM [/robot/right_e0_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,869: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,869: +PARAM [/robot/left_gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,869: +PARAM [/robot/left_s0_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,869: +PARAM [/robot/left_w2_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,870: +PARAM [/robot/left_joint_position_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,870: +PARAM [/robot/right_e0_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,870: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,870: +PARAM [/robot/left_w2_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,870: +PARAM [/robot/right_w1_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,870: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,870: +PARAM [/robot/right_joint_effort_controller/joints/right_w0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,870: +PARAM [/robot_config/right_config/joint_names] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,870: +PARAM [/robot/right_e0_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,871: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,871: +PARAM [/robot/right_w0_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,871: +PARAM [/robot/right_e0_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,871: +PARAM [/robot/right_e1_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,871: +PARAM [/robot/right_w2_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,872: +PARAM [/robot/left_gripper_controller/joints/l_gripper_r_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,872: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,872: +PARAM [/robot/left_w2_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,872: +PARAM [/robot/head_position_controller/joints/head_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,872: +PARAM [/robot/left_w2_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,872: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,872: +PARAM [/robot/right_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,872: +PARAM [/right_tip_name] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,873: +PARAM [/robot/right_e1_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,873: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,873: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,873: +PARAM [/robot/right_w1_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,873: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,873: +PARAM [/robot/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,873: +PARAM [/robot/right_joint_velocity_controller/joints/right_e1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,874: +PARAM [/robot/left_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,874: +PARAM [/robot/right_w1_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,874: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,874: +PARAM [/robot/left_e1_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,874: +PARAM [/robot/left_joint_velocity_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,874: +PARAM [/robot/right_joint_velocity_controller/joints/right_w1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 13:52:28,874: +PARAM [/robot/right_joint_effort_controller/type] by /roslaunch
