[rosmaster.main][INFO] 2018-06-14 14:14:55,854: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-06-14 14:14:55,854: Starting ROS Master Node
[xmlrpc][INFO] 2018-06-14 14:14:55,856: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2018-06-14 14:14:55,857: Started XML-RPC server [http://localhost:11311/]
[rosmaster.master][INFO] 2018-06-14 14:14:55,857: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2018-06-14 14:14:55,857: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-06-14 14:14:55,935: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:55,938: +PARAM [/roslaunch/uris/host_localhost__44401] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,473: +SERVICE [/rosout/get_loggers] /rosout http://localhost:43617/
[rosmaster.master][INFO] 2018-06-14 14:14:56,478: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:43617/
[rosmaster.master][INFO] 2018-06-14 14:14:56,489: +PUB [/rosout_agg] /rosout http://localhost:43617/
[rosmaster.master][INFO] 2018-06-14 14:14:56,520: +SUB [/rosout] /rosout http://localhost:43617/
[rosmaster.master][INFO] 2018-06-14 14:14:56,522: +PARAM [/robot/right_e0_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,523: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,523: +PARAM [/robot/left_gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,523: +PARAM [/robot/left_s0_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,523: +PARAM [/robot/left_w2_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,523: +PARAM [/robot/left_joint_position_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,523: +PARAM [/robot/right_e0_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,524: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,524: +PARAM [/robot/left_w2_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,524: +PARAM [/robot/right_w1_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,524: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,524: +PARAM [/robot/right_joint_effort_controller/joints/right_w0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,524: +PARAM [/robot_config/right_config/joint_names] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,524: +PARAM [/robot/right_e0_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:14:56,524: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/d] by /roslaunch
