[rosmaster.main][INFO] 2018-06-13 13:37:30,524: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-06-13 13:37:30,525: Starting ROS Master Node
[xmlrpc][INFO] 2018-06-13 13:37:30,526: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2018-06-13 13:37:30,527: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2018-06-13 13:37:30,527: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-06-13 13:37:30,527: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2018-06-13 13:37:30,609: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:30,612: +PARAM [/roslaunch/uris/host_localhost__37861] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,240: +PARAM [/robot/right_e0_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,240: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,240: +PARAM [/robot/left_gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,240: +PARAM [/robot/left_s0_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,241: +PARAM [/robot/left_w2_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,241: +PARAM [/robot/left_joint_position_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,241: +PARAM [/robot/right_e0_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,241: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,241: +PARAM [/robot/left_w2_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,241: +PARAM [/robot/right_w1_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,241: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,242: +PARAM [/robot/right_joint_effort_controller/joints/right_w0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,242: +PARAM [/robot_config/right_config/joint_names] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,242: +PARAM [/robot/right_e0_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,242: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,242: +PARAM [/robot/right_w0_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,243: +PARAM [/robot/right_e0_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,243: +PARAM [/robot/right_e1_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,243: +PARAM [/robot/right_w2_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,243: +PARAM [/robot/left_gripper_controller/joints/l_gripper_r_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,243: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,243: +PARAM [/robot/left_w2_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,244: +PARAM [/robot/head_position_controller/joints/head_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,244: +PARAM [/robot/left_w2_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,244: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,245: +PARAM [/robot/right_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,245: +PARAM [/right_tip_name] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,245: +PARAM [/robot/right_e1_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,245: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,245: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,246: +PARAM [/robot/right_w1_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,246: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,246: +PARAM [/robot/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,246: +PARAM [/robot/right_joint_velocity_controller/joints/right_e1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,246: +PARAM [/robot/left_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,247: +PARAM [/robot/right_w1_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,247: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,247: +PARAM [/robot/left_e1_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,247: +PARAM [/robot/left_joint_velocity_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,247: +PARAM [/robot/right_joint_velocity_controller/joints/right_w1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,247: +PARAM [/robot/right_joint_effort_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,247: +PARAM [/robot/left_w2_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,248: +PARAM [/robot/right_w1_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,248: +PARAM [/robot/head_position_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-13 13:37:31,248: +PARAM [/robot/right_joint_effort_controller/joints/right_e0_controller/joint] by /roslaunch
