[rosmaster.main][INFO] 2018-06-14 14:05:28,812: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-06-14 14:05:28,812: Starting ROS Master Node
[xmlrpc][INFO] 2018-06-14 14:05:28,813: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2018-06-14 14:05:28,814: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2018-06-14 14:05:28,814: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-06-14 14:05:28,814: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2018-06-14 14:05:28,898: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:28,902: +PARAM [/roslaunch/uris/host_localhost__43409] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,461: +SERVICE [/rosout/get_loggers] /rosout http://localhost:42779/
[rosmaster.master][INFO] 2018-06-14 14:05:29,471: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:42779/
[rosmaster.master][INFO] 2018-06-14 14:05:29,477: +PARAM [/robot/right_e0_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,477: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,477: +PARAM [/robot/left_gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,477: +PARAM [/robot/left_s0_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,477: +PARAM [/robot/left_w2_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,478: +PARAM [/robot/left_joint_position_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,478: +PARAM [/robot/right_e0_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,478: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,478: +PARAM [/robot/left_w2_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,478: +PARAM [/robot/right_w1_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,478: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,478: +PARAM [/robot/right_joint_effort_controller/joints/right_w0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,478: +PARAM [/robot_config/right_config/joint_names] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,479: +PARAM [/robot/right_e0_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,479: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,479: +PARAM [/robot/right_w0_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,479: +PARAM [/robot/right_e0_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,479: +PARAM [/robot/right_e1_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,479: +PARAM [/robot/right_w2_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,479: +PARAM [/robot/left_gripper_controller/joints/l_gripper_r_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,479: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,480: +PARAM [/robot/left_w2_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,480: +PARAM [/robot/head_position_controller/joints/head_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,480: +PARAM [/robot/left_w2_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,480: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,480: +PARAM [/robot/right_joint_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,480: +PARAM [/right_tip_name] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,480: +PARAM [/robot/right_e1_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,481: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,481: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,483: +PARAM [/robot/right_w1_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,483: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,483: +PARAM [/robot/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,484: +PARAM [/robot/right_joint_velocity_controller/joints/right_e1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,484: +PARAM [/robot/left_joint_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,484: +PARAM [/robot/right_w1_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,485: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,485: +PARAM [/robot/left_e1_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,485: +PARAM [/robot/left_joint_velocity_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,485: +PARAM [/robot/right_joint_velocity_controller/joints/right_w1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,486: +PARAM [/robot/right_joint_effort_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,486: +PARAM [/robot/left_w2_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,486: +PARAM [/robot/right_w1_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,486: +PARAM [/robot/head_position_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,486: +PARAM [/robot/right_joint_effort_controller/joints/right_e0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,486: +PARAM [/robot/left_joint_position_controller/joints/left_s1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,486: +PARAM [/robot/left_joint_velocity_controller/joints/left_s1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,486: +PARAM [/robot/left_joint_position_controller/joints/left_w1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,487: +PARAM [/robot/left_joint_position_controller/joints/left_e0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,487: +PARAM [/robot/left_joint_position_controller/joints/left_w1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,487: +PARAM [/robot/left_joint_position_controller/joints/left_s1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,487: +PARAM [/robot/right_joint_effort_controller/joints/right_s0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,487: +PARAM [/robot/left_joint_position_controller/joints/left_w1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,487: +PARAM [/robot/left_joint_effort_controller/joints/left_w1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,488: +PARAM [/robot/left_gripper_controller/joints/l_gripper_l_finger_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,488: +PARAM [/robot/left_joint_velocity_controller/joints/left_s0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,488: +PARAM [/robot/left_joint_position_controller/joints/left_s1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,488: +PARAM [/robot/right_gripper_controller/joints/r_gripper_l_finger_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,488: +PARAM [/robot/left_joint_position_controller/joints/left_w1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,488: +PARAM [/robot/left_s0_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,488: +PARAM [/robot/right_joint_velocity_controller/joints/right_e1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,489: +PARAM [/robot/right_joint_velocity_controller/joints/right_w0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,489: +PARAM [/robot/right_joint_velocity_controller/joints/right_w1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,489: +PARAM [/robot/left_e0_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,489: +PARAM [/robot/right_joint_velocity_controller/joints/right_w1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,489: +PARAM [/robot/right_joint_velocity_controller/joints/right_e1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,489: +PARAM [/robot/left_s0_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,489: +PARAM [/robot/left_joint_velocity_controller/joints/left_e0_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,493: +PARAM [/robot/right_joint_effort_controller/joints/right_s1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,494: +PARAM [/robot/right_joint_velocity_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,495: +PARAM [/robot/right_joint_velocity_controller/joints/right_e1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,496: +PARAM [/robot/left_joint_velocity_controller/joints/left_e0_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,496: +PARAM [/grav_left_name] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,497: +PARAM [/robot/left_s0_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,497: +PARAM [/robot/left_joint_velocity_controller/joints/left_e0_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,497: +PARAM [/robot/left_gripper_controller/properties] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,497: +PARAM [/robot/right_joint_velocity_controller/joints/right_w1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,498: +PARAM [/robot/left_joint_position_controller/joints/left_w2_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,498: +PARAM [/robot/head_position_controller/joints/head_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,498: +PARAM [/robot/right_w0_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,498: +PARAM [/robot/left_joint_effort_controller/joints/left_e1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,498: +PARAM [/robot/right_gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,498: +PARAM [/robot/right_w0_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,498: +PARAM [/robot/head_position_controller/joints/head_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,498: +PARAM [/robot/right_joint_effort_controller/joints/right_w1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,499: +PARAM [/baxter_emulator/right_gripper_type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,499: +PARAM [/robot/right_joint_velocity_controller/joints/right_e0_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,499: +PARAM [/robot/left_w0_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,499: +PARAM [/robot/right_w0_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,499: +PARAM [/robot/right_joint_position_controller/joints/right_w2_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,499: +PARAM [/robot/right_joint_velocity_controller/joints/right_e0_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,499: +PARAM [/robot/right_joint_velocity_controller/joints/right_e0_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,499: +PARAM [/robot/right_gripper_controller/joints/r_gripper_r_finger_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,500: +PARAM [/robot/left_joint_position_controller/joints/left_w0_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,500: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,500: +PARAM [/robot/left_e0_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,500: +PARAM [/robot/left_joint_position_controller/joints/left_e0_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,500: +PARAM [/robot/left_joint_position_controller/joints/left_e0_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,500: +PARAM [/robot/left_joint_velocity_controller/joints/left_e0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,500: +PARAM [/robot/left_joint_position_controller/joints/left_w0_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,500: +PARAM [/robot/right_joint_position_controller/joints/right_w0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,501: +PARAM [/robot/left_joint_position_controller/joints/left_e0_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,502: +PARAM [/robot/left_joint_effort_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,502: +PARAM [/robot/left_joint_position_controller/joints/left_w0_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,503: +PARAM [/robot/right_joint_velocity_controller/joints/right_s0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,504: +PARAM [/robot/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,505: +PARAM [/robot/right_s0_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,506: +PARAM [/robot/left_joint_effort_controller/joints/left_e0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,506: +PARAM [/robot/right_joint_velocity_controller/joints/right_s0_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,506: +PARAM [/robot/right_w2_position_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,506: +PARAM [/robot/left_joint_velocity_controller/joints/left_w0_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,506: +PARAM [/robot/left_joint_position_controller/joints/left_e1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,507: +PARAM [/robot/right_joint_position_controller/joints/right_e0_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,507: +PARAM [/robot/right_gripper_controller/topic] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,507: +PARAM [/robot/left_s1_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,507: +PARAM [/robot/right_joint_position_controller/joints/right_e0_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,507: +PARAM [/robot/right_w2_position_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,507: +PARAM [/robot/right_joint_velocity_controller/joints/right_s0_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,507: +PARAM [/robot/left_joint_position_controller/joints/left_s0_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,507: +PARAM [/grav_right_name] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,508: +PARAM [/robot/left_joint_position_controller/joints/left_e1_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,508: +PARAM [/robot/right_joint_position_controller/joints/right_e0_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,508: +PARAM [/robot/left_gripper_controller/joints/l_gripper_r_finger_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,508: +PARAM [/robot/right_joint_velocity_controller/joints/right_s0_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,508: +PARAM [/robot/right_w2_position_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,508: +PARAM [/robot/right_joint_position_controller/joints/right_s0_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,509: +PARAM [/robot/left_joint_position_controller/joints/left_e1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,509: +PARAM [/robot/right_joint_velocity_controller/joints/right_s1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,509: +PARAM [/robot/right_e0_position_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,509: +PARAM [/robot/right_e1_position_controller/type] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,509: +PARAM [/robot/right_joint_effort_controller/joints/right_w2_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,509: +PARAM [/robot/right_joint_position_controller/joints/right_e1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,509: +PARAM [/robot/left_joint_velocity_controller/joints/left_w1_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,510: +PARAM [/robot/right_joint_position_controller/joints/right_e1_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2018-06-14 14:05:29,510: +PARAM [/robot/left_joint_velocity_controller/joints/left_w1_controller/pid/i] by /roslaunch
